"","species","latitude","longitude","sociality","body_mass_g"
"352","Bathyergus suillus",-33.553345,18.593473,"solitary",780
"353","Bathyergus suillus",-33.835628,18.4933,"solitary",780
"354","Bathyergus suillus",-33.364307,18.161458,"solitary",780
"355","Bathyergus suillus",-34.65882,19.560632,"solitary",780
"356","Bathyergus suillus",-34.030664,22.796055,"solitary",780
"357","Bathyergus suillus",-33.841514,18.491359,"solitary",780
"358","Bathyergus suillus",-34.208736,18.400813,"solitary",780
"359","Bathyergus suillus",-34.058333,18.503333,"solitary",780
"360","Bathyergus suillus",-34.061361,18.502773,"solitary",780
"361","Bathyergus suillus",-34.058388,18.503746,"solitary",780
"362","Bathyergus suillus",-34.096434,18.366363,"solitary",780
"363","Bathyergus suillus",-33.860523,18.552534,"solitary",780
"364","Bathyergus suillus",-34.086763,18.81279,"solitary",780
"365","Bathyergus suillus",-34.051571,18.449303,"solitary",780
"366","Bathyergus suillus",-33.838121,18.496389,"solitary",780
"367","Bathyergus suillus",-34.118932,18.390841,"solitary",780
"368","Bathyergus suillus",-34.058333,18.503333,"solitary",780
"369","Bathyergus suillus",-34.0575,18.503611,"solitary",780
"370","Bathyergus suillus",-34.138017,18.325567,"solitary",780
"371","Bathyergus suillus",-34.058167,18.50338,"solitary",780
"372","Bathyergus suillus",-34.203326,18.372596,"solitary",780
"373","Bathyergus suillus",-34.059999,18.498536,"solitary",780
"374","Bathyergus suillus",-34.813716,20.034014,"solitary",780
"375","Bathyergus suillus",-33.52733,18.752442,"solitary",780
"376","Bathyergus suillus",-34.715583,20.108585,"solitary",780
"377","Bathyergus suillus",-34.013031,22.796453,"solitary",780
"378","Bathyergus suillus",-33.861373,18.500994,"solitary",780
"379","Bathyergus suillus",-34.300974,19.143389,"solitary",780
"380","Bathyergus suillus",-33.813178,18.470659,"solitary",780
"381","Bathyergus suillus",-33.75963,18.4967,"solitary",780
"382","Bathyergus suillus",-34.210696,18.40181,"solitary",780
"383","Bathyergus suillus",-33.840731,18.506437,"solitary",780
"384","Bathyergus suillus",-33.5851,18.5086,"solitary",780
"385","Bathyergus suillus",-33.987867,22.716963,"solitary",780
"386","Bathyergus suillus",-34.12826,18.42837,"solitary",780
"387","Bathyergus suillus",-34.0638,18.4951,"solitary",780
"388","Bathyergus suillus",-32.19221,18.32869,"solitary",780
"389","Bathyergus suillus",-32.3284,18.3836,"solitary",780
"390","Bathyergus suillus",-33.809442,18.516082,"solitary",780
"391","Bathyergus suillus",-34.07671,22.97451,"solitary",780
"392","Bathyergus suillus",-33.665047,18.423717,"solitary",780
"393","Bathyergus suillus",-32.387051,18.452728,"solitary",780
"394","Bathyergus suillus",-33.333332,18.15,"solitary",780
"395","Bathyergus suillus",-34.408665,21.195189,"solitary",780
"396","Bathyergus suillus",-33.116699,18.233299,"solitary",780
"397","Bathyergus suillus",-34.533298,19.366699,"solitary",780
"398","Bathyergus suillus",-34.546085,19.376802,"solitary",780
"399","Bathyergus suillus",-33.023102,17.950001,"solitary",780
"400","Bathyergus suillus",-33.383301,18.8333,"solitary",780
"401","Bathyergus suillus",-34.583302,19.4667,"solitary",780
"402","Bathyergus suillus",-34.083302,18.6833,"solitary",780
"403","Bathyergus suillus",-33,18,"solitary",780
"404","Bathyergus suillus",-34.08926,18.531877,"solitary",780
"405","Bathyergus suillus",-32.48,18.53,"solitary",780
"406","Bathyergus suillus",-32.48,18.53,"solitary",780
"407","Bathyergus suillus",-32.48,18.53,"solitary",780
"408","Bathyergus suillus",-30.37,17.52,"solitary",780
"409","Bathyergus suillus",-32.48,18.53,"solitary",780
"410","Bathyergus suillus",-32.48,18.53,"solitary",780
"411","Bathyergus suillus",-32.48,18.53,"solitary",780
"412","Bathyergus suillus",-30.37,17.52,"solitary",780
"413","Bathyergus suillus",-32.48,18.53,"solitary",780
"414","Bathyergus suillus",-34.07,22.13,"solitary",780
"415","Bathyergus suillus",-32.48,18.53,"solitary",780
"416","Bathyergus suillus",-33.983333,22.766667,"solitary",780
"417","Bathyergus suillus",-34.033333,19.633333,"solitary",780
"418","Bathyergus suillus",-34.033333,19.633333,"solitary",780
"419","Bathyergus suillus",-29.25,16.866667,"solitary",780
"420","Cryptomys hottentotus",-26.216669,28.183331,"social",90
"421","Cryptomys hottentotus",-32.883331,27.4,"social",90
"422","Cryptomys hottentotus",-34.35809,18.47189,"social",90
"423","Cryptomys hottentotus",-23.99484,30.52568,"social",90
"424","Cryptomys hottentotus",-15.533333,25.566667,"social",90
"425","Cryptomys hottentotus",-15.533333,25.566667,"social",90
"426","Cryptomys hottentotus",-26.21667,28.18333,"social",90
"427","Cryptomys hottentotus",-6.80278,37.66667,"social",90
"428","Cryptomys hottentotus",-26.04491,28.25525,"social",90
"429","Cryptomys hottentotus",-34.16667,18.33333,"social",90
"430","Cryptomys hottentotus",-18.36667,21.85,"social",90
"431","Cryptomys hottentotus",-18.8140095,22.4198724,"social",90
"432","Cryptomys hottentotus",-15.01667,13.38333,"social",90
"433","Cryptomys hottentotus",-27.686199,28.963077,"social",90
"434","Cryptomys hottentotus",-4.66667,33.450001,"social",90
"435","Cryptomys hottentotus",-4.66667,33.450001,"social",90
"436","Cryptomys hottentotus",-10.966666,24.116667,"social",90
"437","Cryptomys hottentotus",-9.168571,33.584087,"social",90
"438","Cryptomys hottentotus",-9.168571,33.584087,"social",90
"439","Cryptomys hottentotus",-9.168571,33.584087,"social",90
"440","Cryptomys hottentotus",-3.61667,30.58333,"social",90
"441","Cryptomys hottentotus",-3.61667,30.58333,"social",90
"442","Cryptomys hottentotus",-15.06667,13.55,"social",90
"443","Cryptomys hottentotus",-15.06667,13.55,"social",90
"444","Cryptomys hottentotus",-12.46667,15.18333,"social",90
"445","Cryptomys hottentotus",-12.46667,15.18333,"social",90
"446","Cryptomys hottentotus",-12.46667,15.18333,"social",90
"447","Cryptomys hottentotus",-11.12121,14.36667,"social",90
"448","Cryptomys hottentotus",-11.12121,14.36667,"social",90
